,Course,Name,CRN,Type,Section,Time,Day,Location,Instructor
0,MUSE250,The World Through Museums,56970,Lecture-Discussion,1,10:00AM - 10:50AM,MWF,1092 Lincoln Hall,"Frankenberg, S"
1,MUSE389,Seminar in Museum Studies,54651,Lecture-Discussion,AL1,01:00PM - 01:50PM,MWF,336 Davenport Hall,"Frankenberg, S"
2,MUSE390,Museum Internship,59414,Independent Study,,ARRANGED,n.a.,n.a.,
3,MUSE589,Special Topics Museum Studies,54653,Lecture-Discussion,AL1,01:00PM - 01:50PM,MWF,336 Davenport Hall,"Frankenberg, S"
